WEB ID;dose;weight
462;20;2.1
463;4;1.8
464;2;-1,1
465;20;-0,8
466;5;-1,6
467;0.5;-1,3
468;0.1;-3,2
469;1;-2,6
470;15;1.8
471;5;-1,6
472;20;-1,6
473;1;-2,9
474;20;-2,6
475;10;-0,6
476;100;0.8
477;0.02;0.2
478;50;-2,4
479;100;-1,9
480;10;-0,8
481;0.3;0.2
482;5;1.3
483;0.005;-1,7
484;50;-0,1
485;0.5;-0,5
486;30;2.6
487;20;1.1
488;1;-0,4
489;2;1.8
490;5;0.3
491;100;-1,2
492;0.03;0.3
493;2;0.3
494;0.2;-3,2
495;40;-1,5
496;0.1;0.9
497;2;-1,7
498;5;-5,4
499;1;-5,4
500;10;-2,2
501;20;-3,2
502;1;-0,1
503;20;1.1
504;100;-0,3
505;2;-1,8
506;0.02;-1,3
507;10;0.5
508;15;-0,6
509;0.005;-1,8
510;20;-0,9
511;10;-0,7
512;10;-1,6
513;5;0
514;20;0
515;0.5;-1,9
516;6;-0,3
517;10;0.8
518;20;0.7
519;5;0.9
520;2;-2,1
521;3;-0,3
522;20;1.7
523;8;-0,6
524;10;2.7
525;50;1.2
526;5;0.7
527;100;-0,5
528;0.1;-2,9
529;2;-1,8
530;200;-1,3
531;1;-1,1
532;100;-2,3
533;0.5;-0,2
534;50;0.7
535;1000;-1,4
536;100;-1,6
537;20;-0,9
538;0.2;-3,2
539;0.1;-0,6
540;50;-0,9
541;200;0.1
542;50;-0,8
543;50;0.2
544;100;-3,5
545;500;3.3
546;100;-0,6
547;10;-4
548;50;0.3
549;20;1.8
550;50;-1,9
551;500;-0,9
552;50;-0,5
553;5;2.3
554;0.5;1.2
555;3;-1
556;10;1
557;50;1.9
558;50;0.9
559;50;-0,8
560;20;-1,1
561;20;-2,1
562;10;-0,8
563;100;2.5
564;100;1.5
565;20;-3,4
566;10;0.4
567;1;-2,9
568;20;3.4
569;15;-0,5
570;0.2;-3,7
571;2;-5,2
572;10;-1,2
573;200;-1,2
574;70;0.5
575;150;-1,7
576;30;-1,4
577;30;0.6
578;30;-2,1
579;25;-0,4
580;50;-0,3
581;5;-2,9
582;20;-2,1
583;15;-0,7
584;10;-0,6
585;10;-1,1
586;10;-0,4
587;0.6;0.2
588;200;-3,3
589;5;0.3
590;10;-0,9
591;80;1.9
592;200;1.8
593;40;1.2
594;4;-1,3
595;4;0.4
596;1;-3,5
597;1;-2,3
598;4;0.5
599;2;0.8
600;2;0.4
601;0.2;-0,4
602;20;1.9
603;10;-1,2
604;0.05;-0,8
605;50;-1,7
606;2;-0,4
607;0.5;0.3
608;1;0.2
609;10;-0,9
610;200;-0,3
611;60;0.7
612;2;-0,5
613;1;-0,8
614;2;1
615;1;0.7
616;100;-2,9
617;20;-0,5
618;5;-1,9
619;2;-0,5
620;0.4;-0,5
621;15;-0,6
622;0.5;-1,5
623;5;-0,9
624;3;-0,2
625;1;-0,1
626;15;0.9
627;5;0.5
628;5;0.8
629;10;-4,6
630;0.5;-1,3
631;1;-1,5
632;2;-1,7
633;4;-1
634;3;1.3
635;2;-0,2
636;500;3.5
637;5;-2
638;4;0.5
639;1;-3
640;1;1.2
641;10;1.8
642;50;0.6
643;1;-0,4
644;10;-0,3
645;100;-1,6
646;5;0.6
647;20;-7,1
648;20;0.9
649;5;1
650;0.1;-1,5
651;10;0.2
652;5;-0,7
653;2;0.3
654;100;-2,8
655;20;-0,1
656;7;-0,6
657;0.1;-0,3
658;20;-2,1
659;10;1.6
660;50;3.6
661;0.4;0.6
662;1;0.2
663;100;-0,8
664;2;-2
665;0.3;-0,4
666;2;2.2
667;1;-2,3
668;3;-2,7
669;500;-0,6
670;2;0.4
671;10;-1,5
672;0.5;0.2
673;10;0.1
674;20;-1,3
675;200;2.7
676;2;-1,5
677;100;1.2
678;1000;-1
679;3;0.5
680;30;3
681;0.5;0.3
682;1;0.6
683;25;0.4
684;100;-0,8
685;20;0.9
686;1;1
687;5;0.7
688;7;0.9
689;200;0.3
690;40;1
691;1;-1
692;2;-1,5
693;50;0.4
694;4;-1,2
695;100;1.2
696;0.1;1.1
697;1;1.4
698;50;-1,3
699;2;1.8
700;100;-1,2
701;3;-0,9
702;200;-0,3
703;100;-1,9
704;25;0.2
705;50;-1,7
706;50;1.5
707;30;0.6
708;5;-0,9
709;4;-0,5
710;1;1.2
711;10;1.1
712;10;0.4
713;5;-0,7
714;1;0.2
715;20;2.1
716;50;-2,7
717;20;1
718;40;-2,2
719;100;1.1
720;20;-0,6
721;40;0.2
722;0.1;1.6
723;40;-1,7
724;7;-1,5
725;0.1;-0,5
726;0.3;-5,8
727;20;-2,1
728;20;0.5
729;200;0
730;2;0.2
731;100;-1,4
732;10;0.4
733;70;2.5
734;3;-1,7
